t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1433695869,74,337252,337252.000000,337252,0.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695870,75,337252,337252.000000,337252,0.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695871,76,337252,337252.000000,337252,0.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695872,77,337252,337252.000000,337252,0.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695873,78,337252,337252.000000,337252,0.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695874,79,337252,337252.000000,337252,0.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695875,80,337252,337252.000000,337252,0.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695876,81,337252,337252.000000,337252,0.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695877,82,337252,337252.000000,337252,0.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695878,83,337252,337252.000000,337252,0.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695879,84,337252,337252.000000,337252,0.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695880,85,337252,337252.000000,337252,0.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695881,86,337252,337252.000000,337252,0.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695882,87,337252,337252.000000,337252,0.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695883,88,337252,337252.000000,337252,0.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695884,89,337252,337252.000000,337252,0.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695885,90,337252,337252.000000,337252,0.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695886,91,337252,337252.000000,337252,0.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695887,92,337252,337252.000000,337252,0.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
